lambda[nm]	Hb[cm-1/uM]	HbO2[cm-1/uM]	Lip[cm-1/mg]	H2O_37°[cm-1/mg]	Collagene_dens_1g/cm3[cm-1/mg]	Bkg[cm-1]
600	0.033796	0.0073683	6.09E-06	2.03E-06	0.000480847	1
601	0.032336338	0.006588991	5.88E-06	2.28E-06	0.000477535	1
602	0.031367	0.0061341	5.70E-06	2.44E-06	0.000474251	1
603	0.030218453	0.005536811	5.55E-06	2.42E-06	0.000470996	1
604	0.028938	0.0048999	5.45E-06	2.42E-06	0.000467768	1
605	0.027688925	0.004420236	5.39E-06	2.49E-06	0.000464567	1
606	0.02651	0.0041198	5.40E-06	2.49E-06	0.000461393	1
607	0.025317372	0.003929211	5.44E-06	2.49E-06	0.000458247	1
608	0.024126	0.0037937	5.47E-06	2.58E-06	0.000455127	1
609	0.022889722	0.003637908	5.48E-06	2.53E-06	0.000452033	1
610	0.021745	0.0034677	5.44E-06	2.69E-06	0.000448965	1
611	0.020742284	0.003301909	5.31E-06	2.79E-06	0.000445924	1
612	0.019782	0.0031416	5.14E-06	2.81E-06	0.000442907	1
613	0.018748704	0.002973889	4.95E-06	2.90E-06	0.000439916	1
614	0.017873	0.0028156	4.77E-06	2.69E-06	0.00043695	1
615	0.017304979	0.002673842	4.63E-06	2.95E-06	0.000434009	1
616	0.016912	0.0025559	4.57E-06	2.81E-06	0.000431092	1
617	0.016456076	0.002454658	4.56E-06	3.11E-06	0.0004282	1
618	0.01595	0.0023625	4.59E-06	3.06E-06	0.000425331	1
619	0.015440902	0.002266102	4.65E-06	3.02E-06	0.000422487	1
620	0.014989	0.002169	4.72E-06	2.90E-06	0.000419666	1
621	0.014594456	0.002072028	4.76E-06	2.97E-06	0.000420227	1
622	0.01426	0.0019756	4.77E-06	2.95E-06	0.00041775	1
623	0.013928205	0.001876015	4.77E-06	3.11E-06	0.000415203	1
624	0.013601	0.0017822	4.75E-06	2.92E-06	0.00041265	1
625	0.013263194	0.00169846	4.71E-06	3.06E-06	0.000410173	1
626	0.012941	0.0016293	4.66E-06	2.90E-06	0.000407725	1
627	0.012631859	0.001570288	4.61E-06	2.88E-06	0.000405558	1
628	0.012358	0.0015169	4.57E-06	2.86E-06	0.000403754	1
629	0.012098709	0.001460873	4.55E-06	3.15E-06	0.000402345	1
630	0.011856	0.0014046	4.55E-06	3.04E-06	0.000401301	1
631	0.01160412	0.001348428	4.60E-06	3.11E-06	0.000400505	1
632	0.011354	0.0012922	4.65E-06	2.72E-06	0.000399846	1
